#IP user browser visitNum date time UnixTime(UTC) random Nweb_to_visit typeWeb website revisitation visiting_time
192.168.246.132 0 F 17 2017-09-13 19:30 1505323840 0.16 279 1 http://www.Wordpress.com 0 99.74
192.168.246.132 0 F 17 2017-09-13 19:32 1505323942 0.16 279 1 http://www.Wordpress.com 1 217.48
192.168.246.132 0 F 17 2017-09-13 19:36 1505324161 0.16 279 1 http://www.Wordpress.com 2 34.74
192.168.246.132 0 F 17 2017-09-13 19:36 1505324198 0.16 279 1 http://www.Wordpress.com 3 177.73
192.168.246.132 0 F 17 2017-09-13 19:39 1505324378 0.16 279 1 http://www.Wordpress.com 4 21.45
192.168.246.132 0 F 17 2017-09-13 19:40 1505324401 0.16 279 1 http://www.Wordpress.com 5 64.71
192.168.246.132 0 F 17 2017-09-13 19:41 1505324468 0.16 279 1 http://www.Wordpress.com 6 77.18
192.168.246.132 0 F 17 2017-09-13 19:42 1505324547 0.16 279 1 http://www.Wordpress.com 7 91.4
192.168.246.132 0 F 17 2017-09-13 19:44 1505324640 0.16 279 1 http://www.Wordpress.com 8 83.84
192.168.246.132 0 F 18 2017-09-13 19:45 1505324726 0.55 150 1 http://www.renfe.com 0 112.65
192.168.246.132 0 F 19 2017-09-13 19:47 1505324848 0.65 291 1 http://www.Mundodeportivo.com 0 84.7
192.168.246.132 0 F 19 2017-09-13 19:49 1505324941 0.65 291 1 http://www.Mundodeportivo.com 1 55.25
192.168.246.132 0 F 19 2017-09-13 19:50 1505325005 0.65 291 1 http://www.Mundodeportivo.com 2 103.25
192.168.246.132 0 F 20 2017-09-13 19:51 1505325118 0.85 61 1 http://www.vodafone.es 0 30.38
192.168.246.132 0 F 21 2017-09-13 19:52 1505325152 0.11 109 1 http://www.bankinter.com 0 50.52
192.168.246.132 0 F 21 2017-09-13 19:53 1505325204 0.11 109 1 http://www.bankinter.com 1 172.08
192.168.246.132 0 F 22 2017-09-13 19:57 1505325437 0.21 119 1 http://www.bancopopular-e.com 0 13.9
192.168.246.132 0 F 22 2017-09-13 19:57 1505325451 0.21 119 1 http://www.bancopopular-e.com 1 15.92
192.168.246.132 0 F 22 2017-09-13 19:57 1505325467 0.21 119 1 http://www.bancopopular-e.com 2 4.12
192.168.246.132 0 F 22 2017-09-13 19:57 1505325472 0.21 119 1 http://www.bancopopular-e.com 3 24.55
192.168.246.132 0 F 22 2017-09-13 19:58 1505325497 0.21 119 1 http://www.bancopopular-e.com 4 16.33
192.168.246.132 0 F 22 2017-09-13 19:58 1505325514 0.21 119 1 http://www.bancopopular-e.com 5 4.42
192.168.246.132 0 F 22 2017-09-13 19:58 1505325519 0.21 119 1 http://www.bancopopular-e.com 6 28.03
192.168.246.132 0 F 22 2017-09-13 19:59 1505325547 0.21 119 1 http://www.bancopopular-e.com 7 56.08
192.168.246.132 0 F 22 2017-09-13 20:00 1505325604 0.21 119 1 http://www.bancopopular-e.com 8 103.82
192.168.246.132 0 F 23 2017-09-13 20:02 1505325741 0.18 35 1 http://www.sport.es 0 9.41
192.168.246.132 0 F 23 2017-09-13 20:02 1505325771 0.18 35 1 http://www.sport.es 1 9.58
192.168.246.132 0 F 23 2017-09-13 20:04 1505325841 0.18 35 1 http://www.sport.es 2 106.69
192.168.246.132 0 F 23 2017-09-13 20:05 1505325950 0.18 35 1 http://www.sport.es 3 68.67
192.168.246.132 0 F 23 2017-09-13 20:07 1505326020 0.18 35 1 http://www.sport.es 4 58.9
192.168.246.132 0 F 24 2017-09-13 20:08 1505326081 0.51 33 1 http://www.marca.com 0 231.67
